district,subdistrict,unit_index,form_type,vote_phase,latitude,longitude,latlong_location,ballot_total,ballot_valid,ballot_invalid,ballot_no_vote,candidate_or_party,votes,vote_share
ศรีนครินทร์,บ้านนา,4,constituency,election_day,7.569812799999999,99.8929252,ศาลาประจำหมู่บ้านบ้านต้นไทร,314,298,6,10,นิติศักดิ์ ธรรมเพชร,118,0.3959731543624161
ศรีนครินทร์,บ้านนา,5,constituency,election_day,7.5640073,99.8794744,ศาลาอเนกประสงค์บ้านตีนนา,433,418,6,9,นิติศักดิ์ ธรรมเพชร,107,0.25598086124401914
ศรีนครินทร์,บ้านนา,6,constituency,election_day,7.5621172,99.8859108,ศาลาอเนกประสงค์บ้านหนองเหรียง,406,395,6,5,นิติศักดิ์ ธรรมเพชร,158,0.4
ศรีนครินทร์,บ้านนา,7,constituency,election_day,7.5640073,99.8794744,ศาลาประจำหมู่บ้านบ้านคอกเสือ,591,576,8,7,นิติศักดิ์ ธรรมเพชร,143,0.2482638888888889
ศรีนครินทร์,บ้านนา,8,constituency,election_day,7.5640073,99.8794744,ศาลาประจำหมู่บ้านบ้านวงค์,329,317,5,7,นิติศักดิ์ ธรรมเพชร,140,0.4416403785488959
ศรีนครินทร์,บ้านนา,9,constituency,election_day,7.5640073,99.8794744,ศาลาอเนกประสงค์บ้านป่าสน,341,336,3,2,นิติศักดิ์ ธรรมเพชร,137,0.40773809523809523
ศรีนครินทร์,บ้านนา,10,constituency,election_day,7.576822099999999,99.8753746,ศาลาประจำหมู่บ้านบ้านน้ำใต้บ่อ,427,413,10,4,นิติศักดิ์ ธรรมเพชร,108,0.26150121065375304
ศรีนครินทร์,บ้านนา,11,constituency,election_day,7.5640073,99.8794744,ที่ทำการกลุ่มแม่บ้านลำในใต้,387,362,14,11,นิติศักดิ์ ธรรมเพชร,202,0.5580110497237569
ป่าพะยอม,บ้านพร้าว,0,constituency,election_day,7.814176799999999,99.9520961,เต๊นท์บริเวณตลาดใหม่ป่าพะยอม,438,416,0,22,นิติศักดิ์ ธรรมเพชร,116,0.27884615384615385
ป่าพะยอม,บ้านพร้าว,1,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านพร้าว,392,366,3,23,นิติศักดิ์ ธรรมเพชร,104,0.28415300546448086
ป่าพะยอม,บ้านพร้าว,2,constituency,election_day,7.7965689,99.92745370000002,ศาลาประจำหมู่บ้านบ้านตลิ่งชัน,506,479,11,16,นิติศักดิ์ ธรรมเพชร,117,0.24425887265135698
ป่าพะยอม,บ้านพร้าว,3,constituency,election_day,7.830872999999999,99.930464,ศาลาประจำหมู่บ้านบ้านศาลาน้ำ,677,648,13,16,นิติศักดิ์ ธรรมเพชร,134,0.20679012345679013
ป่าพะยอม,บ้านพร้าว,4,constituency,election_day,7.836562000000001,99.9709605,ศาลาประจำหมู่บ้านบ้านบ่อทราย,318,297,8,13,นิติศักดิ์ ธรรมเพชร,118,0.39730639730639733
ป่าพะยอม,บ้านพร้าว,5,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านไสอ้อ,243,225,7,11,นิติศักดิ์ ธรรมเพชร,40,0.17777777777777778
ป่าพะยอม,บ้านพร้าว,6,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านหาดสูง,628,613,5,10,นิติศักดิ์ ธรรมเพชร,164,0.26753670473083196
ป่าพะยอม,บ้านพร้าว,7,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านไสกล้วย,373,356,13,4,นิติศักดิ์ ธรรมเพชร,73,0.2050561797752809
ป่าพะยอม,บ้านพร้าว,8,constituency,election_day,7.7994581,99.9130875,ศาลาประจำหมู่บ้านบ้านหน้าป่า,687,657,21,9,นิติศักดิ์ ธรรมเพชร,122,0.1856925418569254
ป่าพะยอม,บ้านพร้าว,9,constituency,election_day,7.8144408,99.9409196,ศาลาประจำหมู่บ้านบ้านไผ่รอบ,636,605,14,17,นิติศักดิ์ ธรรมเพชร,138,0.228099173553719
ป่าพะยอม,บ้านพร้าว,10,constituency,election_day,7.836562000000001,99.9709605,ศาลาประจำหมู่บ้านบ้านบ่อทรายใน,443,419,12,12,นิติศักดิ์ ธรรมเพชร,98,0.23389021479713604
ควนขนุน,ปันแต,0,constituency,election_day,7.792807099999998,100.0611429,ศาลาประจำหมู่บ้านบ้านปลายคลอง,227,219,6,2,นิติศักดิ์ ธรรมเพชร,124,0.5662100456621004
ควนขนุน,ปันแต,1,constituency,election_day,7.791803600000001,100.0351252,ศาลาประจำหมู่บ้านบ้านปันแต,129,127,1,1,นิติศักดิ์ ธรรมเพชร,100,0.7874015748031497
ควนขนุน,ปันแต,2,constituency,election_day,7.804429099999999,100.0067757,ศาลาประจำหมู่บ้านบ้านสำนักกอ,493,478,7,8,นิติศักดิ์ ธรรมเพชร,136,0.28451882845188287
ควนขนุน,ปันแต,3,constituency,election_day,7.804978500000001,100.0569463,ศาลาประจำหมู่บ้านบ้านปากสระ,251,236,3,12,นิติศักดิ์ ธรรมเพชร,63,0.2669491525423729
ควนขนุน,ปันแต,4,constituency,election_day,7.8043368,100.0275755,ศาลาประจำหมู่บ้านบ้านควนปันแต,490,479,6,5,นิติศักดิ์ ธรรมเพชร,193,0.40292275574112735
ควนขนุน,ปันแต,5,constituency,election_day,7.7882409,100.0275755,ศาลาประจำหมู่บ้านบ้านในไร่,498,481,11,6,นิติศักดิ์ ธรรมเพชร,123,0.25571725571725573
ควนขนุน,ปันแต,6,constituency,election_day,7.7850935,100.0471549,ศาลาประจำหมู่บ้านบ้านโพธิ์,200,192,4,4,นิติศักดิ์ ธรรมเพชร,72,0.375
ควนขนุน,ปันแต,7,constituency,election_day,7.782078799999999,100.0611429,ศาลาประจำหมู่บ้านบ้านสุนทราออก,171,167,1,3,นิติศักดิ์ ธรรมเพชร,89,0.5329341317365269
ควนขนุน,ปันแต,8,constituency,election_day,7.782478,100.0443576,ศาลาประจำหมู่บ้านบ้านสุนทราตก,349,341,3,5,นิติศักดิ์ ธรรมเพชร,179,0.5249266862170088
ควนขนุน,ปันแต,9,constituency,election_day,7.7735798,100.0289689,สถานปฏิบัติธรรมบ้านไสหลวง,353,346,3,4,นิติศักดิ์ ธรรมเพชร,85,0.24566473988439305
