pdf_page,pdf_sequence,polling_unit_no,district,source_subdistrict_pdf,moo,polling_place_pdf,registered_voters_66
5,426,3,ป่าพะยอม,ลานข่อย,2,ศาลาประจ าหมู่บ้านบ้านห้วยหลุด,978
5,427,4,ป่าพะยอม,ลานข่อย,3,ศาลาประจ าหมู่บ้านบ้านทุ่งชุมพล,921
6,428,5,ป่าพะยอม,ลานข่อย,4,ศาลาประจ าหมู่บ้านบ้านห้วยเรียน,842
6,429,6,ป่าพะยอม,ลานข่อย,5,ศาลาประจ าหมู่บ้านบ้านถ ้าลา,488
6,430,7,ป่าพะยอม,ลานข่อย,6,ศาลาประจ าหมู่บ้านบ้านมาดนั่ง,611
6,431,8,ป่าพะยอม,ลานข่อย,7,ศาลาประจ าหมู่บ้านบ้านห้วยศรีเกษร,637
6,432,9,ป่าพะยอม,ลานข่อย,8,ศาลาประจ าหมู่บ้านบ้านห้วยร าพึง,407
6,433,10,ป่าพะยอม,ลานข่อย,9,ศาลาประจ าหมู่บ้านบ้านควนยาว,764
6,434,1,ศรีบรรพต,เขาย่า,1,ศาลาประจ าหมู่บ้าน บ้านส านักปราง,502
6,435,2,ศรีบรรพต,เขาย่า,2,ศาลาประจ าหมู่บ้าน บ้านสะพานยาง,478
6,436,3,ศรีบรรพต,เขาย่า,3,ศาลาประจ าหมู่บ้าน บ้านม่วง,648
6,437,4,ศรีบรรพต,เขาย่า,4,ศาลาประจ าหมู่บ้าน บ้านเขาย่าออก,518
6,438,5,ศรีบรรพต,เขาย่า,5,ศาลาประจ าหมู่บ้าน บ้านโหล๊ะเร็ดตก,567
6,439,6,ศรีบรรพต,เขาย่า,6,ศาลาประจ าหมู่บ้าน บ้านเขาย่าตก,574
6,440,7,ศรีบรรพต,เขาย่า,7,ศาลาประจ าหมู่บ้าน บ้านโพรงงู,651
6,441,8,ศรีบรรพต,เขาย่า,8,ศาลาประจ าหมู่บ้าน บ้านโหล๊ะเร็ดออก,656
6,442,9,ศรีบรรพต,เขาย่า,9,ศาลาประจ าหมู่บ้าน บ้านส านักวา,445
6,443,10,ศรีบรรพต,เขาย่า,10,ศาลาประจ าหมู่บ้าน บ้านหูหนาน,520
6,444,1,ศรีบรรพต,เขาปู่,1,ศาลาประจ าหมู่บ้าน บ้านหน้าวัด,447
6,445,2,ศรีบรรพต,เขาปู่,2,ศาลาประจ าหมู่บ้าน บ้านใสประดู่,615
6,446,3,ศรีบรรพต,เขาปู่,3,ศาลาประจ าหมู่บ้าน บ้านควนลม,235
6,447,4,ศรีบรรพต,เขาปู่,4,ศาลาประจ าหมู่บ้าน บ้านทุ่งยูง,390
6,448,5,ศรีบรรพต,เขาปู่,5,ศาลาประจ าหมู่บ้าน บ้านด่าน,303
6,449,6,ศรีบรรพต,เขาปู่,6,ศาลาประจ าหมู่บ้าน บ้านเหรียงงาม,619
6,450,7,ศรีบรรพต,เขาปู่,7,ศาลาประจ าหมู่บ้าน บ้านเขาป้าแหร้,459
6,451,8,ศรีบรรพต,เขาปู่,8,ศาลาประจ าหมู่บ้าน บ้านป่าตอ,564
6,452,9,ศรีบรรพต,เขาปู่,9,ศาลาประจ าหมู่บ้าน บ้านในวัง,326
6,453,10,ศรีบรรพต,เขาปู่,10,ศาลาประจ าหมู่บ้าน บ้านโหล๊ะปราง,299
6,454,11,ศรีบรรพต,เขาปู่,11,ศาลาประจ าหมู่บ้าน บ้านเขาปู่,436
6,455,1,ศรีบรรพต,ตะแพน,1,ศาลาประจ าหมู่บ้าน บ้านสวนโหนด,397
6,456,2,ศรีบรรพต,ตะแพน,2,โรงอาหารโรงเรียนวัดตะแพน,713
6,457,3,ศรีบรรพต,ตะแพน,3,ศาลาประจ าหมู่บ้าน บ้านวังยาว,398
6,458,4,ศรีบรรพต,ตะแพน,4,ศาลาประจ าหมู่บ้าน บ้านห้วยครก,161
6,459,5,ศรีบรรพต,ตะแพน,5,ศาลาประจ าหมู่บ้าน บ้านท่ายูง,633
