province,registrar,subdistrict,electorate,location,latitude,longitude,district,source_subdistrict_pdf,polling_unit_no,unit_index,moo,polling_place_pdf,registered_voters_66,pdf_sequence,pdf_page,unit_match_method,unit_match_score,unit_match_note
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านเขากอย,7.7173634,99.9632741,ควนขนุน,ดอนทราย,1,0,1,ศาลาประจ าหมู่บ้านบ้านเขากอย,254,325,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านหม้อ,7.7253162,99.9828919,ควนขนุน,ดอนทราย,2,1,2,ศาลาประจ าหมู่บ้านบ้านหม้อ,437,326,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านเขาวัง,7.7066667,99.9511111,ควนขนุน,ดอนทราย,3,2,3,ศาลาประจ าหมู่บ้านบ้านเขาวัง,356,327,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านลำรุณ,7.7173634,99.9632741,ควนขนุน,ดอนทราย,4,3,4,ศาลาประจ าหมู่บ้านบ้านล ารุณ,303,328,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านควนเหลง,7.7173634,99.9632741,ควนขนุน,ดอนทราย,5,4,5,ศาลาประจ าหมู่บ้านบ้านควนเหลง,568,329,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านเกาะทอง,7.722331100000001,99.9800438,ควนขนุน,ดอนทราย,6,5,6,ศาลาประจ าหมู่บ้านบ้านเกาะทอง,345,330,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านควนดินแดง,7.7186105,99.9665503,ควนขนุน,ดอนทราย,7,6,7,ศาลาประจ าหมู่บ้านบ้านควนดินแดง,668,331,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านจันนา,7.7290582,99.9418062,ควนขนุน,ดอนทราย,8,7,8,ศาลาประจ าหมู่บ้านบ้านจันนา,319,332,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านไสอ้อย,7.706008700000001,99.9771524,ควนขนุน,ดอนทราย,9,8,9,ศาลาประจ าหมู่บ้านบ้านไสอ้อย,698,333,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านไสโพธิ์,7.7714851,100.0555474,ควนขนุน,ดอนทราย,10,9,10,ศาลาประจ าหมู่บ้านบ้านไสโพธิ์,463,334,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,ดอนทราย,2,ศาลาประจำหมู่บ้านบ้านจันนาตก,7.7290582,99.9418062,ควนขนุน,ดอนทราย,11,10,11,ศาลาประจ าหมู่บ้านบ้านจันนาตก,325,335,3,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,โรงอาหารโรงเรียนประดู่เรียง,7.7409914,100.0858852,ควนขนุน,มะกอกเหนือ,1,0,1,โรงอาหารโรงเรียนประดู่เรียง,676,289,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาประจำหมู่บ้านบ้านปากคลองเก่า,7.739052,100.0712741,ควนขนุน,มะกอกเหนือ,2,1,2,ศาลาประจ าหมู่บ้านบ้านปากคลองเก่า,127,290,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาประจำหมู่บ้านบ้านเขาอ้อ,7.7544444,100.0663889,ควนขนุน,มะกอกเหนือ,3,2,3,ศาลาประจ าหมู่บ้านบ้านเขาอ้อ,132,291,2,location_exact_normalized,1.0,
พัทลุง,อำเภอควนขนุน,มะกอกเหนือ,2,ศาลาประจำหมู่บ้านบ้านค่ายเสือ,7.7416636,100.0695367,ควนขนุน,มะกอกเหนือ,4,3,4,ศาลาประจ าหมู่บ้านบ้านค่ายเสือ,329,292,2,location_exact_normalized,1.0,
