province,registrar,subdistrict,electorate,location,latitude,longitude
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านใสประดู่ หมู่ที่ 2,7.664779900000001,99.8385881
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านควนลม หมู่ที่ 3,7.729098599999999,99.8041245
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านทุ่งยูง หมู่ที่ 4,7.7451902,99.8041245
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านด่าน หมู่ที่ 5,7.717472799999999,99.8431866
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านเหรียงงาม หมู่ที่ 6,7.7169567,99.8655158
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านเขาป้าแหร้ หมู่ที่ 7,7.741928,99.8292338
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านป่าตอ หมู่ที่ 8,7.699030199999999,99.8292338
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านในวัง หมู่ที่ 9,7.704519400000001,99.8236533
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านโหล๊ะปราง หมู่ที่ 10,7.704519400000001,99.8236533
พัทลุง,อำเภอศรีบรรพต,เขาปู่,2,ศาลาประจำหมู่บ้าน บ้านเขาปู่ หมู่ที่ 11,7.704519400000001,99.8236533
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,ศาลาประจำหมู่บ้าน บ้านสวนโหนด หมู่ที่ 1,7.6514478,99.9629591
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,โรงอาหารโรงเรียนวัดตะแพน,7.6554624,99.8766586
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,ศาลาประจำหมู่บ้าน บ้านวังยาว หมู่ที่ 3,7.639195399999998,99.8683073
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,ศาลาประจำหมู่บ้าน บ้านห้วยครก หมู่ที่ 4,7.6452374,99.8090063
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,ศาลาประจำหมู่บ้าน บ้านท่ายูง หมู่ที่ 5,7.618795599999999,99.8236533
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,ศาลาประจำหมู่บ้าน บ้านหน้าควน หมู่ที่ 6,7.6508473,99.9437136
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,โรงอาหารโรงเรียนบ้านหัสคุณ,7.6497788,99.9285556
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,สำนักสงฆ์บ้านท่าข้าม,7.6775386,99.8988081
พัทลุง,อำเภอศรีบรรพต,ตะแพน,2,อาคารโรงเรียนบ้านสวนโหนด,7.6514478,99.9629591
พัทลุง,อำเภอป่าพะยอม,ป่าพะยอม,2,ศาลาประจำหมู่บ้านบ้านสังแกระ,7.8521588,99.9353318
พัทลุง,อำเภอป่าพะยอม,ป่าพะยอม,2,ศาลาประจำหมู่บ้านบ้านป่าพะยอม,7.7542239,99.8194682
พัทลุง,อำเภอป่าพะยอม,ป่าพะยอม,2,โรงเรียนอนุบาลป่าพะยอม,7.841230299999999,99.9385037
พัทลุง,อำเภอป่าพะยอม,ป่าพะยอม,2,ศาลาประจำหมู่บ้านบ้านทุง,7.8521588,99.9353318
พัทลุง,อำเภอป่าพะยอม,ป่าพะยอม,2,ศาลาประจำหมู่บ้านบ้านประดู่หอม,7.851793,99.964334
พัทลุง,อำเภอป่าพะยอม,ป่าพะยอม,2,ศาลาประจำหมู่บ้านบ้านนาทราย,7.838677,99.863101
พัทลุง,อำเภอป่าพะยอม,ป่าพะยอม,2,ศาลาประจำหมู่บ้านบ้านโคกกอ,7.8521588,99.9353318
พัทลุง,อำเภอป่าพะยอม,ป่าพะยอม,2,ศาลาประจำหมู่บ้านบ้านไสกุน,7.8654527,99.959434
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านไร่เจ็ดสิบ,7.8113025,99.8459774
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านห้วยกรวด,7.8554397,99.9101915
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านบางหล่อ,7.791444299999999,99.8295765
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศูนย์สาธิตการตลาดบ้านบางหล่อ,7.791444299999999,99.8295765
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านคลองใหญ่,7.8265429,99.8689005
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านไสเลียบ,7.8321524,99.8957282
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศูนย์เรียนรู้บ้านไสเลียบ,7.8321524,99.8957282
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านปากเหมือง,7.77781,99.8342437
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านประชาสามัคคี,7.7700709,99.8878507
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านหนำวัว,7.784332600000001,99.8515593
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านควนตะแบก,7.849026500000001,99.8403959
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านห้วยปริง,7.819731300000001,99.9013657
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านเกาะยวน,7.8504642,99.8934354
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านห้วยไม้ไผ่,7.76993,99.835768
พัทลุง,อำเภอป่าพะยอม,เกาะเต่า,2,ศาลาประจำหมู่บ้านบ้านนา,7.838677,99.863101
พัทลุง,อำเภอป่าพะยอม,บ้านพร้าว,2,เต๊นท์บริเวณตลาดใหม่ป่าพะยอม,7.814176799999999,99.9520961
พัทลุง,อำเภอป่าพะยอม,บ้านพร้าว,2,ศาลาประจำหมู่บ้านบ้านพร้าว,7.8144408,99.9409196
พัทลุง,อำเภอป่าพะยอม,บ้านพร้าว,2,ศาลาประจำหมู่บ้านบ้านตลิ่งชัน,7.7965689,99.92745370000002
พัทลุง,อำเภอป่าพะยอม,บ้านพร้าว,2,ศาลาประจำหมู่บ้านบ้านศาลาน้ำ,7.830872999999999,99.930464
