pdf_page,pdf_sequence,district,source_subdistrict_pdf,polling_unit_no,unit_index,moo,polling_place_pdf,registered_voters_66,province,registrar,latlong_subdistrict,latlong_location,latitude,longitude,electorate,latlong_row_id,latlong_match_method,latlong_match_score,coordinate_reused_count,merge_key_subdistrict_unit
2,313,ควนขนุน,ชะมวง,4,3,5,ศาลาประจ าหมู่บ้านบ้านหนักขัน,226,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหนักขัน,7.7419453,99.9723573,2,117,location_exact_normalized,1.0,1,ชะมวง|3
2,314,ควนขนุน,ชะมวง,5,4,6,ศาลาประจ าหมู่บ้านบ้านไสเตียน,605,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสเตียน,7.753196000000001,99.9551971,2,118,location_exact_normalized,1.0,1,ชะมวง|4
2,315,ควนขนุน,ชะมวง,6,5,7,ศาลาประจ าหมู่บ้านบ้านค่ายไพออก,387,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านค่ายไพออก,7.3838149,100.2598974,2,119,location_exact_normalized,1.0,1,ชะมวง|5
2,316,ควนขนุน,ชะมวง,7,6,8,ศาลาประจ าหมู่บ้านบ้านค่ายไพตก,448,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านค่ายไพตก,7.3838149,100.2598974,2,120,location_exact_normalized,1.0,1,ชะมวง|6
2,317,ควนขนุน,ชะมวง,8,7,9,ศาลาประจ าหมู่บ้านบ้านไทรโกบ,468,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไทรโกบ,7.7372374,99.973056,2,121,location_exact_normalized,1.0,1,ชะมวง|7
2,318,ควนขนุน,ชะมวง,9,8,10,ศาลาประจ าหมู่บ้านบ้านหัวถนน,420,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหัวถนน,7.736974900000001,99.9842367,2,122,location_exact_normalized,1.0,1,ชะมวง|8
2,319,ควนขนุน,ชะมวง,10,9,11,ศาลาประจ าหมู่บ้านบ้านปาบ,257,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านปาบ,7.737530199999998,99.9891287,2,123,location_exact_normalized,1.0,1,ชะมวง|9
2,320,ควนขนุน,ชะมวง,11,10,12,ศาลาประจ าหมู่บ้านบ้านสามหนอง,539,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านสามหนอง,7.771804299999999,99.9381744,2,124,location_exact_normalized,1.0,1,ชะมวง|10
2,321,ควนขนุน,ชะมวง,12,11,13,ศาลาประจ าหมู่บ้านบ้านศาลาม่วง,336,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านศาลาม่วง,7.7427958,99.9646715,2,125,location_exact_normalized,1.0,1,ชะมวง|11
2,322,ควนขนุน,ชะมวง,13,12,14,ศาลาประจ าหมู่บ้านบ้านไสตอ,552,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสตอ,7.7851689,99.9546944,2,126,location_exact_normalized,1.0,1,ชะมวง|12
3,323,ควนขนุน,ชะมวง,14,13,15,ศาลาประจ าหมู่บ้านบ้านหยีใน,668,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านหยีใน,7.769434400000001,99.9700718,2,127,location_exact_normalized,1.0,1,ชะมวง|13
3,324,ควนขนุน,ชะมวง,15,14,16,ศาลาประจ าหมู่บ้านบ้านไสตอตก,425,พัทลุง,อำเภอควนขนุน,ชะมวง,ศาลาประจำหมู่บ้านบ้านไสตอตก,7.7851689,99.9546944,2,128,location_exact_normalized,1.0,1,ชะมวง|14
3,325,ควนขนุน,ดอนทราย,1,0,1,ศาลาประจ าหมู่บ้านบ้านเขากอย,254,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านเขากอย,7.7173634,99.9632741,2,80,location_exact_normalized,1.0,1,ดอนทราย|0
3,326,ควนขนุน,ดอนทราย,2,1,2,ศาลาประจ าหมู่บ้านบ้านหม้อ,437,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านหม้อ,7.7253162,99.9828919,2,81,location_exact_normalized,1.0,1,ดอนทราย|1
3,327,ควนขนุน,ดอนทราย,3,2,3,ศาลาประจ าหมู่บ้านบ้านเขาวัง,356,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านเขาวัง,7.7066667,99.9511111,2,82,location_exact_normalized,1.0,1,ดอนทราย|2
3,328,ควนขนุน,ดอนทราย,4,3,4,ศาลาประจ าหมู่บ้านบ้านล ารุณ,303,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านลำรุณ,7.7173634,99.9632741,2,83,location_exact_normalized,1.0,1,ดอนทราย|3
3,329,ควนขนุน,ดอนทราย,5,4,5,ศาลาประจ าหมู่บ้านบ้านควนเหลง,568,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านควนเหลง,7.7173634,99.9632741,2,84,location_exact_normalized,1.0,1,ดอนทราย|4
3,330,ควนขนุน,ดอนทราย,6,5,6,ศาลาประจ าหมู่บ้านบ้านเกาะทอง,345,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านเกาะทอง,7.722331100000001,99.9800438,2,85,location_exact_normalized,1.0,1,ดอนทราย|5
3,331,ควนขนุน,ดอนทราย,7,6,7,ศาลาประจ าหมู่บ้านบ้านควนดินแดง,668,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านควนดินแดง,7.7186105,99.9665503,2,86,location_exact_normalized,1.0,1,ดอนทราย|6
3,332,ควนขนุน,ดอนทราย,8,7,8,ศาลาประจ าหมู่บ้านบ้านจันนา,319,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านจันนา,7.7290582,99.9418062,2,87,location_exact_normalized,1.0,1,ดอนทราย|7
3,333,ควนขนุน,ดอนทราย,9,8,9,ศาลาประจ าหมู่บ้านบ้านไสอ้อย,698,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านไสอ้อย,7.706008700000001,99.9771524,2,88,location_exact_normalized,1.0,1,ดอนทราย|8
3,334,ควนขนุน,ดอนทราย,10,9,10,ศาลาประจ าหมู่บ้านบ้านไสโพธิ์,463,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านไสโพธิ์,7.7714851,100.0555474,2,89,location_exact_normalized,1.0,1,ดอนทราย|9
3,335,ควนขนุน,ดอนทราย,11,10,11,ศาลาประจ าหมู่บ้านบ้านจันนาตก,325,พัทลุง,อำเภอควนขนุน,ดอนทราย,ศาลาประจำหมู่บ้านบ้านจันนาตก,7.7290582,99.9418062,2,90,location_exact_normalized,1.0,1,ดอนทราย|10
3,336,ควนขนุน,นาขยาด,1,0,1,ศาลาประจ าหมู่บ้านบ้านศาลาต้นรักษ์,821,พัทลุง,อำเภอควนขนุน,นาขยาด,ศาลาประจำหมู่บ้านบ้านศาลาต้นรักษ์,7.679982700000001,99.9576849,2,27,location_exact_normalized,1.0,1,นาขยาด|0
3,337,ควนขนุน,นาขยาด,2,1,2,ศาลาประจ าหมู่บ้านบ้านพังดาน,812,พัทลุง,อำเภอควนขนุน,นาขยาด,ศาลาประจำหมู่บ้านบ้านพังดาน,7.670382399999999,99.9823069,2,28,location_exact_normalized,1.0,1,นาขยาด|1
